PM:Channel,row,col
A6:CH12,0,0
A6:CH10,0,1
A6:CH11,1,0
A6:CH09,1,1
A6:CH08,2.125,0
A6:CH06,2.125,1
A6:CH04,2.125,2.125
A6:CH02,2.125,3.125
A6:CH07,3.125,0
A6:CH05,3.125,1
A6:CH03,3.125,2.125
A6:CH01,3.125,3.125
A7:CH08,0,2.125
A7:CH07,0,3.125
A7:CH12,-0.5,4.250
A7:CH11,-0.5,5.250
A7:CH06,1,2.125
A7:CH05,1,3.125
A7:CH10,0.5,4.250
A7:CH09,0.5,5.250
A7:CH04,1.625,4.250
A7:CH03,1.625,5.250
A7:CH02,2.625,4.250
A7:CH01,2.625,5.250
A0:CH07,0,6.375
A0:CH08,0,7.375
A0:CH11,0,8.5
A0:CH12,0,9.5
A0:CH05,1,6.375
A0:CH06,1,7.375
A0:CH09,1,8.5
A0:CH10,1,9.5
A0:CH03,2.125,6.375
A0:CH04,2.125,7.375
A0:CH01,3.125,6.375
A0:CH02,3.125,7.375
A1:CH06,2.125,8.5
A1:CH08,2.125,9.5
A1:CH05,3.125,8.5
A1:CH07,3.125,9.5
A1:CH02,4.250,6.875
A1:CH04,4.250,7.875
A1:CH10,4.250,9
A1:CH12,4.250,10
A1:CH01,5.250,6.875
A1:CH03,5.250,7.875
A1:CH09,5.250,9
A1:CH11,5.250,10
A2:CH01,6.375,6.375
A2:CH03,6.375,7.375
A2:CH05,6.375,8.5
A2:CH07,6.375,9.5
A2:CH02,7.375,6.375
A2:CH04,7.375,7.375
A2:CH06,7.375,8.5
A2:CH08,7.375,9.5
A2:CH09,8.5,8.5
A2:CH11,8.5,9.5
A2:CH10,9.5,8.5
A2:CH12,9.5,9.5
A3:CH01,6.875,4.250
A3:CH02,6.875,5.250
A3:CH03,7.875,4.250
A3:CH04,7.875,5.250
A3:CH09,9,4.250
A3:CH10,9,5.250
A3:CH05,8.5,6.375
A3:CH06,8.5,7.375
A3:CH11,10,4.250
A3:CH12,10,5.250
A3:CH07,9.5,6.375
A3:CH08,9.5,7.375
A4:CH02,6.375,2.125
A4:CH01,6.375,3.125
A4:CH04,7.375,2.125
A4:CH03,7.375,3.125
A4:CH10,8.5,0
A4:CH09,8.5,1
A4:CH06,8.5,2.125
A4:CH05,8.5,3.125
A4:CH12,9.5,0
A4:CH11,9.5,1
A4:CH08,9.5,2.125
A4:CH07,9.5,3.125
A5:CH11,4.250,-0.5
A5:CH09,4.250,0.5
A5:CH03,4.250,1.675
A5:CH01,4.250,2.675
A5:CH12,5.250,-0.5
A5:CH10,5.250,0.5
A5:CH04,5.250,1.675
A5:CH02,5.250,2.675
A5:CH07,6.375,0
A5:CH05,6.375,1
A5:CH08,7.375,0
A5:CH06,7.375,1
